pvs,r_frames_4k,r_frames_1080,mean_v0_4k,mean_v1_4k,range_v0_4k,range_v1_4k,res_label,codec,crf,src
Aerial3200_1920x1080_5994_10bit_420__960x540__h264__crf18,0.9884147968991028,0.9866568424565373,89.27226909230771,86.28187124615384,12.384804000000003,14.858460999999991,540p,h264,18,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__h264__crf23,0.9870070619468619,0.9859362218847542,84.47840547692307,78.74974430769231,15.105466000000007,17.705563999999995,540p,h264,23,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__h264__crf28,0.9864056278790677,0.9867801242227162,75.42631143846155,65.48364685384615,15.965925999999996,19.591775,540p,h264,28,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__h264__crf33,0.9812402067870818,0.9833600720517631,61.48015102307692,45.50617890769231,14.997176000000003,20.161913,540p,h264,33,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__h264__crf38,0.9704852887276679,0.9752709808338716,46.89471765384615,22.04517326923077,12.903145000000002,23.557972999999997,540p,h264,38,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__h264__crf43,0.743288907649602,0.9452959847791232,35.87395263846153,1.0059656615384613,8.845490000000002,7.337084,540p,h264,43,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__hevc__crf18,0.9853005121739534,0.9819479950699717,89.55965151538462,87.3539513,10.135024999999999,10.913049,540p,hevc,18,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__hevc__crf23,0.9872228088064409,0.9837200900060971,85.37486981538461,81.39093538461537,11.665322000000003,12.73222299999999,540p,hevc,23,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__hevc__crf28,0.9847497553904254,0.9826582798134129,77.46056397692308,70.12722359230769,12.977059000000011,15.013269000000001,540p,hevc,28,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__hevc__crf33,0.9749909465466062,0.9761097408699038,65.03898385384615,51.186884015384614,11.956836000000003,16.522833,540p,hevc,33,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__hevc__crf38,0.9685396861691885,0.9737342766756132,50.03810236923077,25.43645023076923,10.658458000000003,19.536867,540p,hevc,38,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__hevc__crf43,0.30172564275958247,0.7888292535999678,34.32780303076923,0.006619553846153845,9.725378,0.499669,540p,hevc,43,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__vp9__crf20,0.9654263782124682,0.9676227354891995,91.25996032307692,89.01367903076924,9.400473000000005,9.844495999999992,540p,vp9,20,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__vp9__crf30,0.9663834261956022,0.9754367292209646,87.93205629230769,84.66952801538464,12.613898000000006,13.043615000000003,540p,vp9,30,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__vp9__crf40,0.9749576080709705,0.9855930390816129,79.77077544615385,72.39876054615385,16.972808,22.879388000000006,540p,vp9,40,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__vp9__crf50,0.9865395099022852,0.9904203657183104,67.47438403846152,49.3851581,20.33110299999999,31.172181999999992,540p,vp9,50,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__960x540__vp9__crf60,0.9936224905573325,0.9944033153479713,52.465379169230765,20.047368353846153,22.420104999999992,32.573806000000005,540p,vp9,60,Aerial3200_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__av1__crf20,0.9251898365823358,0.8843827553064026,96.32272723846154,97.49107032307693,6.596447999999995,3.509141999999997,720p,av1,20,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__av1__crf30,0.9167142428565347,0.8897321230657452,94.19745483846155,95.01887227692308,7.438845999999998,5.032128,720p,av1,30,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__av1__crf40,0.8961648306530486,0.8786894625097877,90.20587753076923,90.80396280769232,8.365459000000001,8.084691000000007,720p,av1,40,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__av1__crf50,0.9363580699767483,0.9295607340050329,84.7495959846154,85.11198151538461,10.049857000000003,10.523371999999995,720p,av1,50,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__av1__crf60,0.973774815885251,0.9733448837359638,75.58666497692307,74.8330442,11.642308,13.381973000000002,720p,av1,60,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__h264__crf18,0.9646122026400237,0.9403765702369821,94.11183646923077,95.37142123076922,6.3961419999999976,6.733969999999999,720p,h264,18,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__h264__crf23,0.9661137805084277,0.9570851527423194,89.7750765076923,90.56082876153845,9.664214000000001,10.421564000000004,720p,h264,23,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__h264__crf28,0.975098239588122,0.9734314552886081,82.05296854615385,82.00237958461538,12.030594000000008,15.830773000000008,720p,h264,28,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__h264__crf33,0.9755342477890958,0.9786769378428781,70.21160407692307,67.61022716153846,13.460347000000006,21.501653999999995,720p,h264,33,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__h264__crf38,0.9718289303027329,0.9815805222391665,54.04627263076924,43.98429675384615,12.135793999999997,25.523597000000002,720p,h264,38,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__h264__crf43,0.9346369777366151,0.9501848620500158,37.26447837692308,14.691948738461539,7.4970010000000045,19.521299999999997,720p,h264,43,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__hevc__crf18,0.9539801231906561,0.9169419079547704,94.08077538461538,95.34516323076923,4.183835000000002,4.286154999999994,720p,hevc,18,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__hevc__crf23,0.9615676186683668,0.9464660684501036,89.96011142307692,90.849198,6.086581999999993,6.982921000000005,720p,hevc,23,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__hevc__crf28,0.969934899547465,0.9639019791374277,83.32990748461539,83.80342115384614,8.862426999999997,10.893704,720p,hevc,28,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__hevc__crf33,0.967408776472819,0.9678536811484384,73.21082324615384,71.86111921538462,10.514957999999993,16.261234,720p,hevc,33,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__hevc__crf38,0.9313902875913065,0.9579235622520913,59.639669138461535,53.63503498461539,11.281184000000003,23.539401000000005,720p,hevc,38,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__hevc__crf43,0.8562095887301381,0.9008485203592352,44.69010213846153,26.730186669230772,8.875013000000003,20.774685,720p,hevc,43,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__vp9__crf20,0.9002133887979087,0.8107461697959748,97.03567616153846,98.27813133846153,3.2343860000000006,2.7739899999999977,720p,vp9,20,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__vp9__crf30,0.9613822383381413,0.9324641299177688,94.79720376153846,95.85851533076922,4.626270000000005,5.281441999999998,720p,vp9,30,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__vp9__crf40,0.982556045150899,0.9759433247248724,89.60473329230769,90.40677651538459,9.961051999999995,10.357652000000002,720p,vp9,40,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__vp9__crf50,0.9892030503092295,0.9899911634603877,79.92623714615385,79.2150621923077,16.708067,18.018321,720p,vp9,50,Boat_1920x1080_5994_10bit_420
Boat_1920x1080_5994_10bit_420__1280x720__vp9__crf60,0.9938447288442993,0.994633999883388,65.30582936923078,59.14404291538461,21.995728999999997,28.574796000000006,720p,vp9,60,Boat_1920x1080_5994_10bit_420
