pvs,src,codec,res_label,short_side,crf,pvs_set,bitrate_kbps,src_bitdepth,fps,v0_1080,v0_4k,v1_1d5h_2160,v1_1d5h_2160_8bit,v1_3d0h_1080
Boat_1920x1080_5994_10bit_420__1280x720__av1__crf30,Boat_1920x1080_5994_10bit_420,av1,720p,720,30,ladder,9496.52,10-bit src,59.94006309148265,92.258,94.197,95.019,95.019,94.069
Boat_1920x1080_5994_10bit_420__1280x720__av1__crf40,Boat_1920x1080_5994_10bit_420,av1,720p,720,40,ladder,4900.075,10-bit src,59.94006309148265,86.251,90.206,90.804,90.804,90.319
Boat_1920x1080_5994_10bit_420__1280x720__av1__crf50,Boat_1920x1080_5994_10bit_420,av1,720p,720,50,ladder,2664.608,10-bit src,59.94006309148265,78.043,84.75,85.112,85.112,85.227
Boat_1920x1080_5994_10bit_420__1280x720__av1__crf60,Boat_1920x1080_5994_10bit_420,av1,720p,720,60,ladder,1228.757,10-bit src,59.94006309148265,64.04,75.587,74.833,74.833,75.949
Boat_1920x1080_5994_10bit_420__1280x720__h264__crf18,Boat_1920x1080_5994_10bit_420,h264,720p,720,18,ladder,11640.191,10-bit src,59.94006309148265,92.197,94.112,95.371,95.371,94.381
Boat_1920x1080_5994_10bit_420__1280x720__h264__crf23,Boat_1920x1080_5994_10bit_420,h264,720p,720,23,ladder,6164.691,10-bit src,59.94006309148265,85.476,89.775,90.561,90.561,90.102
Boat_1920x1080_5994_10bit_420__1280x720__h264__crf28,Boat_1920x1080_5994_10bit_420,h264,720p,720,28,ladder,3266.242,10-bit src,59.94006309148265,73.264,82.053,82.002,82.002,82.432
Boat_1920x1080_5994_10bit_420__1280x720__h264__crf33,Boat_1920x1080_5994_10bit_420,h264,720p,720,33,ladder,1639.568,10-bit src,59.94006309148265,54.649,70.212,67.61,67.61,69.371
Boat_1920x1080_5994_10bit_420__1280x720__h264__crf38,Boat_1920x1080_5994_10bit_420,h264,720p,720,38,ladder,803.219,10-bit src,59.94006309148265,30.992,54.046,43.984,43.984,47.49
Boat_1920x1080_5994_10bit_420__1280x720__h264__crf43,Boat_1920x1080_5994_10bit_420,h264,720p,720,43,ladder,478.838,10-bit src,59.94006309148265,10.287,37.264,14.692,14.692,19.605
Boat_1920x1080_5994_10bit_420__1280x720__hevc__crf18,Boat_1920x1080_5994_10bit_420,hevc,720p,720,18,ladder,12340.241,10-bit src,59.94006309148265,92.157,94.081,95.345,95.345,94.358
Boat_1920x1080_5994_10bit_420__1280x720__hevc__crf23,Boat_1920x1080_5994_10bit_420,hevc,720p,720,23,ladder,6584.84,10-bit src,59.94006309148265,85.91,89.96,90.849,90.849,90.359
Boat_1920x1080_5994_10bit_420__1280x720__hevc__crf28,Boat_1920x1080_5994_10bit_420,hevc,720p,720,28,ladder,3455.011,10-bit src,59.94006309148265,75.631,83.33,83.803,83.803,84.052
Boat_1920x1080_5994_10bit_420__1280x720__hevc__crf33,Boat_1920x1080_5994_10bit_420,hevc,720p,720,33,ladder,1734.118,10-bit src,59.94006309148265,59.835,73.211,71.861,71.861,73.251
Boat_1920x1080_5994_10bit_420__1280x720__hevc__crf38,Boat_1920x1080_5994_10bit_420,hevc,720p,720,38,ladder,796.289,10-bit src,59.94006309148265,39.293,59.64,53.635,53.635,56.495
